domain,company,vertical,industry_raw,region,source,list_year
ibm.com,IBM Cloud Pak for Integration,devtools,ETL Tools,us,g2.com_wayback,2022
icims.com,iCIMS Talent Cloud,software_saas,Payroll,us,g2.com_wayback,2022
icontact.com,iContact,software_saas,Email Marketing,us,g2.com_wayback,2022
incidentiq.com,Incident IQ,software_saas,Help Desk,us,g2.com_wayback,2022
inetsoft.com,InetSoft Style Intelligence,software_saas,Data Visualization,us,g2.com_wayback,2022
infinitecampus.com,Infinite Campus,edtech,Learning Management System (LMS),us,g2.com_wayback,2021
checkpoint.com,Infinity Total Protection,software_saas,Endpoint Protection Suites,us,g2.com_wayback,2022
prezi.com,Infogram,software_saas,Data Visualization,,g2.com_wayback,2022
informatica.com,Informatica PowerCenter,devtools,ETL Tools,us,g2.com_wayback,2022
inkling.com,Inkling,edtech,Course Authoring,us,g2.com_wayback,2022
insightly.com,Insightly CRM,software_saas,CRM,us,g2.com_wayback,2022
instabug.com,Instabug,devtools,Application Performance Monitoring (APM),,g2.com_wayback,2022
instana.com,Instana,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
instantly.ai,Instantly,software_saas,Email Marketing,,g2.com_wayback,2022
instasafe.com,Instasafe ZTAA,software_saas,Identity and Access Management (IAM),us,g2.com_wayback,2022
intakeq.com,IntakeQ,health,Telemedicine,other,g2.com_wayback,2022
integrate.io,Integrate.io,devtools,ETL Tools,us,g2.com_wayback,2022
intel.com,Intel VTune Amplifier,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
intellihr.co,intelliHR - Intelligent People Management,software_saas,Core HR,other,g2.com_wayback,2022
intercom.com,Intercom,software_saas,Help Desk,us,g2.com_wayback,2022
interseller.io,Interseller,software_saas,Email Marketing,us,g2.com_wayback,2022
get.vitalsource.com,Intrepid by VitalSource,edtech,Course Authoring,us,g2.com_wayback,2022
mailchimp.com,Intuit Mailchimp,software_saas,Email Marketing,us,g2.com_wayback,2022
invisionapp.com,InVision,software_saas,Applicant Tracking Systems (ATS),us,g2.com_wayback,2022
invoiced.com,Invoiced,fintech_insurance,Subscription Billing,,g2.com_wayback,2022
ionicframework.com,Ionic,devtools,Continuous Integration,us,g2.com_wayback,2022
iseazy.com,isEazy,edtech,Course Authoring,,g2.com_wayback,2022
isolvedhcm.com,isolved,software_saas,Core HR,us,g2.com_wayback,2022
ispringsolutions.com,iSpring Suite,edtech,Course Authoring,us,g2.com_wayback,2022
iterable.com,Iterable,software_saas,Marketing Automation,us,g2.com_wayback,2022
itslearning.com,itslearning,edtech,Learning Management System (LMS),us,g2.com_wayback,2021
jazzhr.com,JazzHR,software_saas,Applicant Tracking Systems (ATS),us,g2.com_wayback,2022
cd.foundation,Jenkins,devtools,Continuous Integration,us,g2.com_wayback,2022
jfrog.com,JFrog Artifactory,devtools,Continuous Integration,us,g2.com_wayback,2022
jobdiva.com,JobDiva,software_saas,Applicant Tracking Systems (ATS),us,g2.com_wayback,2022
jobvite.com,Jobvite,software_saas,Payroll,,g2.com_wayback,2022
jumpcloud.com,JumpCloud,software_saas,Identity and Access Management (IAM),us,g2.com_wayback,2022
justworks.com,Justworks,software_saas,Core HR,us,g2.com_wayback,2022
corp.kaltura.com,Kaltura Video Cloud,edtech,Course Authoring,us,g2.com_wayback,2022
kadenze.com,Kannu,edtech,Learning Management System (LMS),us,g2.com_wayback,2021
kantata.com,Kantata Cloud for Professional Services (formerly Mavenlink + Kimble),software_saas,Project Management,us,g2.com_wayback,2022
usa.kaspersky.com,Kaspersky Endpoint Security for Business,software_saas,Endpoint Protection Suites,other,g2.com_wayback,2022
keap.com,Keap,software_saas,CRM,,g2.com_wayback,2022
elastic.co,Kibana,software_saas,Data Visualization,us,g2.com_wayback,2022
klara.com,Klara,health,Telemedicine,us,g2.com_wayback,2022
klaviyo.com,Klaviyo,software_saas,Marketing Automation,us,g2.com_wayback,2022
kustomer.com,Kustomer,software_saas,Help Desk,us,g2.com_wayback,2022
launchdarkly.com,LaunchDarkly,devtools,Continuous Delivery,us,g2.com_wayback,2022
learndash.com,LearnDash,edtech,Learning Management System (LMS),us,g2.com_wayback,2021
learnupon.com,LearnUpon LMS,edtech,Course Authoring,eu,g2.com_wayback,2022
learnworlds.com,LearnWorlds,edtech,Learning Management System (LMS),other,g2.com_wayback,2021
legworkprm.com,Legwork,health,Patient Engagement,us,g2.com_wayback,2022
lessannoyingcrm.com,Less Annoying CRM,software_saas,CRM,us,g2.com_wayback,2022
lessonly.com,Lessonly by Seismic,edtech,Course Authoring,us,g2.com_wayback,2022
letstalkinteractive.com,Let's Talk Telehealth Video Conferencing Office Suite,health,Telemedicine,,g2.com_wayback,2022
salesforce.com,LevelJump,software_saas,Project Management,us,g2.com_wayback,2022
lever.co,Lever,software_saas,Applicant Tracking Systems (ATS),,g2.com_wayback,2022
levitate.ai,Levitate,software_saas,Email Marketing,,g2.com_wayback,2022
business.linkedin.com,LinkedIn Talent Hub,software_saas,Applicant Tracking Systems (ATS),us,g2.com_wayback,2022
liquibase.com,Liquibase,devtools,Continuous Integration,,g2.com_wayback,2022
listrak.com,Listrak,software_saas,Marketing Automation,us,g2.com_wayback,2022
litmus.com,Litmus,software_saas,Email Marketing,us,g2.com_wayback,2022
qualityunit.com,LiveAgent,software_saas,Help Desk,eu,g2.com_wayback,2022
livechatinc.com,LiveChat,software_saas,Help Desk,eu,g2.com_wayback,2022
livezilla.net,LiveZilla,software_saas,Help Desk,,g2.com_wayback,2022
logicmonitor.com,LogicMonitor,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
logrocket.com,LogRocket,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
logz.io,Logz.io,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
charlesthayne.com,Lucidpress,fintech_insurance,Payment Gateways,us,g2.com_wayback,2022
lumahealth.io,Luma Health,health,Patient Engagement,us,g2.com_wayback,2022
lumigo.io,Lumigo,devtools,Application Performance Monitoring (APM),,g2.com_wayback,2022
lyftron.com,lyftrondata,devtools,ETL Tools,us,g2.com_wayback,2022
malwarebytes.com,Malwarebytes for Business,software_saas,Endpoint Protection Suites,us,g2.com_wayback,2022
manageengine.com,ManageEngine Applications Manager,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
