domain,company,vertical,industry_raw,region,source,list_year,stratum
cloudfmgroup.com,Cloudfm Integrated Services,services_other,Support Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
rankingcoach.com,rankingCoach,software_saas,Sales & Marketing,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
autostoresystem.com,Autostore,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
berexia.com,Berexia,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
terreetlac.com,Terre et Lac Conseil,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
lamaison-carreauconcept.com,Carreau Concept,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
asw-bike.de,RSM-Bike,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
hartfordcare.co.uk,Hartford Care Group,health,Health,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
explicatis.com,Explicatis,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
technoworld.com,Technoworld,ecommerce_retail,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
sellsy.com,Sellsy,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
industrieleasing.eu,Industrieleasing Deutschland,fintech_insurance,Financial Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
cloture-ares.fr,Clôture ARES,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
naava.io,Naava Group,ecommerce_retail,Health,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
versoproboscs.com,Versoprobo,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
portswigger.net,PortSwigger,devtools,Cyber Security,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
communicate.technology,Communicate Technology,services_other,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
geo-sat.com,GEOSAT,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
ebury.com,Ebury Partners UK,fintech_insurance,Fintech,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
masonadvisory.com,Mason Advisory,services_other,Management Consulting,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
zac-personalservice.de,ZAC Personalservice,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
luxonled.eu,Luxon,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
plastore.it,Plastore,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
next-consult.com,Next Consult,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
gevekom.com,gevekom,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
releasefinans.se,Umeå Release Finans,fintech_insurance,Financial Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
aktivpersonalservice.de,ANT Personalservice,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
thiga.co,Thiga,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
blaudirekt.pl,blau direkt,fintech_insurance,Financial Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
zebra.cz,ZEBRA SYSTEMS,software_saas,Cyber Security,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
100percentchiropractic.com,100% Chiropractic,health,Health Services,us,inc.com_api_i5list,2019,inc.com_api_i5list
hexawin.fr,HEXAWIN,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
1-callstaffing.com,1-Call Staffing,services_other,Human Resources,us,inc.com_api_i5list,2019,inc.com_api_i5list
pcfgroup.com,PCF Group,services_other,Games industry,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
spsistemi.net,Soluzioni Prodotti Sistemi,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
10xgenomics.com,10x Genomics,health,Biotech,us,inc.com_api_i5list,2019,inc.com_api_i5list
deepersonar.com,Deeper,ecommerce_retail,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
bambinomio.co.uk,Bambino Mio,ecommerce_retail,Retail,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
musterknaben-eg.de,Musterknaben,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
slovakiaring.sk,2 Ring,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
treasury-management.com,Treasury Intelligences Solutions,fintech_insurance,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
utelize.co.uk,Utelize Communications,services_other,Telecoms,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
armapartners.com,Arma Partners,services_other,Financial Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
