domain,company,vertical,industry_raw,region,source,list_year
contractexteriors.com,Contract Exteriors,services_other,Construction,us,inc.com_api_i5list,2019
contractosprey.com,Osprey Management,services_other,Construction,us,inc.com_api_i5list,2019
contractsolutions-inc.com,Contract Solutions,services_other,Government Services,us,inc.com_api_i5list,2019
convene.com,Convene,services_other,Real Estate,us,inc.com_api_i5list,2019
convergeconsulting.org,Converge Consulting,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
convergint.com,Convergint Technologies,services_other,Security,us,inc.com_api_i5list,2019
conversantgroup.com,Conversant Group,services_other,IT Services,us,inc.com_api_i5list,2019
conversica.com,Conversica,software_saas,Software,us,inc.com_api_i5list,2019
conversionlogix.com,Conversion Logix,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
conversionpoint.com,ConversionPoint Technologies,software_saas,Software,us,inc.com_api_i5list,2019
convertitmarketing.com,Convert IT Marketing,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
convertkit.com,ConvertKit,software_saas,Software,us,inc.com_api_i5list,2019
converzemedia.com,Converze Media Group,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
conveyiq.com,ConveyIQ,software_saas,Software,us,inc.com_api_i5list,2019
cooksecuritygroup.com,Cook Security Group,services_other,Security,us,inc.com_api_i5list,2019
cool.haus,Coolhaus Ice Cream,ecommerce_retail,Food & Beverage,us,inc.com_api_i5list,2019
copasat.com,CopaSAT,services_other,Telecommunications,us,inc.com_api_i5list,2019
copleycg.com,The Copley Consulting Group,software_saas,Software,us,inc.com_api_i5list,2019
copper.com,Copper,software_saas,Software,us,inc.com_api_i5list,2019
coranet.com,Coranet,services_other,Telecommunications,us,inc.com_api_i5list,2019
corcoranpacific.com,Elite Pacific,services_other,Real Estate,us,inc.com_api_i5list,2019
corefact.com,Corefact,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
corenutritionals.com,Core Nutritionals,health,Health Services,us,inc.com_api_i5list,2019
coresofttech.com,Core Software Technologies,software_saas,Software,us,inc.com_api_i5list,2019
coretelligent.com,Coretelligent,services_other,IT Services,us,inc.com_api_i5list,2019
corevist.com,Corevist,software_saas,Software,us,inc.com_api_i5list,2019
corkcicle.com,Corkcicle,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
corlfiedfe.com,CorLife,health,Health Services,us,inc.com_api_i5list,2019
corneralliance.com,Corner Alliance,services_other,Government Services,us,inc.com_api_i5list,2019
corp2000.com,Corp2000,services_other,Business Products & Services,us,inc.com_api_i5list,2019
corporatetaxadvisors.com,Corporate Tax Advisors,fintech_insurance,Financial Services,us,inc.com_api_i5list,2019
corsis.com,Corsis,services_other,Business Products & Services,us,inc.com_api_i5list,2019
cortinasolutions.com,Cortina Solutions,services_other,Government Services,us,inc.com_api_i5list,2019
corvettemods.com,Corvette Mods,ecommerce_retail,Retail,us,inc.com_api_i5list,2019
coschedule.com,CoSchedule,software_saas,Software,us,inc.com_api_i5list,2019
cosolutions.com,CoSolutions,services_other,Government Services,us,inc.com_api_i5list,2019
cossetbathandbody.com,Cosset,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
cotaglobal.com,Puzzled,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
coulee.tech,Coulee Tech,services_other,IT Services,us,inc.com_api_i5list,2019
couponcause.com,CouponCause.com,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
courierds.com,Courier Distribution Systems,services_other,Logistics & Transportation,us,inc.com_api_i5list,2019
