domain,company,vertical,industry_raw,region,source,list_year
humanuspraca.pl,Humanus Personalservice,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
liquisign.de,Liquisign OHG,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
antherica.com,Antherica,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
motorflash.com,Motor Flash Iberica de Negocios,services_other,Sales & Marketing,eu,ft1000_wayback:20210331132419,2021
innocv.com,Innocv Solutions,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
sanso-longchamp.com,Longchamp Asset Management,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
amagno.co.uk,AMAGNO,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
route101.com,Route 101 (formerly Unify),services_other,Telecoms,uk,ft1000_wayback:20210331132419,2021
smartbeautyconzept.de,Smart Beauty Conzept,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
viabill.com,Viabill,fintech_insurance,Fintech,eu,ft1000_wayback:20210331132419,2021
tarlogic.com,Tarlogic Security,devtools,Cyber Security,eu,ft1000_wayback:20210331132419,2021
imap.com,IMAP,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
istekki.fi,Istekki,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
retesol.com,Retesol,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
iplato.com,iPlato Healthcare,software_saas,Technology,uk,ft1000_wayback:20210331132419,2021
sonarworks.com,Sonarworks,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
j-labs.pl,j-labs,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
eurosagency.eu,Euros Agency Group,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
openwork.fr,OpenWork / Le Monde Après,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
lepetitvapoteur.com,Le Petit Vapoteur,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
ispartner.lv,Industry Service Partner,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
dqe-software.com,DQE Software,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
go-concept.lu,Go Concept,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
2iportage.com,2I Portage,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
dollynoire.com,Dolly Noire,ecommerce_retail,Fashion,eu,ft1000_wayback:20210331132419,2021
mailup.com,Mailup,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
awinsi.tech,Awinsi Technologies,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
prima-solutions.com,PRIMA SOLUTIONS,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
expertease-partners.com,Expertease Partners,fintech_insurance,Financial Services,eu,ft1000_wayback:20210331132419,2021
denevy.eu,DENEVY,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
inrete.it,Inrete,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
cyden.com,Cyden (iPulse),software_saas,Technology,uk,ft1000_wayback:20210331132419,2021
mashfrog.com,Mashfrog Group,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
kombitex-shop.com,Kombitex,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
aufgesang.de,Aufgesang,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
titansquaremile.com,Square Mile Investment Consulting and Research,fintech_insurance,Financial Services,uk,ft1000_wayback:20210331132419,2021
thecookiesfactory.com,Cookies Factory,services_other,Media,eu,ft1000_wayback:20210331132419,2021
mvise.de,mVISE,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
altansia.com,Altansia,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
hornetsecurity.com,Hornetsecurity,devtools,Cyber Security,eu,ft1000_wayback:20210331132419,2021
manifone.fr,Manifone,services_other,Telecoms,eu,ft1000_wayback:20210331132419,2021
bizforward.co.uk,bizforward,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
lendinvest.com,LendInvest,fintech_insurance,Fintech,uk,ft1000_wayback:20210331132419,2021
fensterblick.de,Fensterblick,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
ftapi.com,FTAPI Software,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
axians.it,Brand Id (Axians),services_other,Telecoms,eu,ft1000_wayback:20210331132419,2021
wundmanagement-magisa.de,MAGISA Wundmanagement,health,Health,eu,ft1000_wayback:20210331132419,2021
accedia.com,Accedia JSC,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
webranking.agency,Webranking,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
arpilabe.com,Arpilabe,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
digitalangels.com,Digital Angels,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
iqmselezione.it,IQM Selezione,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
gmasociale.it,Gma Cooperativa Sociale,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
primeeng.com,PrimeEng Group,services_other,Management Consulting,uk,ft1000_wayback:20210331132419,2021
crosscall.com,Crosscall,services_other,Telecoms,eu,ft1000_wayback:20210331132419,2021
loopme.com,LoopMe,software_saas,Technology,uk,ft1000_wayback:20210331132419,2021
grape.solutions,Grape Solutions Hungary,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
coolshop.com,Coolshop,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
workable.com,Workable Technology,software_saas,Technology,uk,ft1000_wayback:20210331132419,2021
graniteunderwriting.co.uk,Granite Underwriting,fintech_insurance,Insurance,uk,ft1000_wayback:20210331132419,2021
constaff.com,Constaff,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
playground.it,Playground,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
egress.com,Egress Software Technologies,software_saas,Technology,uk,ft1000_wayback:20210331132419,2021
smartblue.de,Smartblue,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
leguano.us,leguano,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
razor.com,Razor,software_saas,Technology,uk,ft1000_wayback:20210331132419,2021
rinkit.com,Rinkit,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20210331132419,2021
saegus.com,Saegus,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
talents-projets.net,Talents & Projets,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
maxpay.com,Maxpay Holding,fintech_insurance,Fintech,eu,ft1000_wayback:20210331132419,2021
santeformapro.com,Santé Formapro,health,Health,eu,ft1000_wayback:20210331132419,2021
keytech.it,Keytech,devtools,Cyber Security,eu,ft1000_wayback:20210331132419,2021
translated.com,Translated,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
bombayworks.com,Bombayworks,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
aizo.com.my,Aizo Group,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
marketsolutions.se,Market Solutions Sverige,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
magilla.company,Magilla,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
wolt.com,Wolt Enterprises,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
