domain,company,vertical,industry_raw,region,source,list_year
success-solutions.com,Success Solutions,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
bugbitething.eu,Bug Bite Thing Europe,health,Health,eu,ft1000_wayback:20220301043147,2022
dexatel.com,Dexatel,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
landbay.co.uk,Landbay,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
degoo.com,Degoo,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
lendable.co.uk,Lendable,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
ulrichmueller.de,Ulrich Müller Wealth Academy,health,Health,eu,ft1000_wayback:20220301043147,2022
cerascreen.info,cerascreen,health,Health,eu,ft1000_wayback:20220301043147,2022
bloomandwild.com,Bloom & Wild,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20220301043147,2022
idfinance.com,ID Finance,fintech_insurance,Fintech,eu,ft1000_wayback:20220301043147,2022
sixsenses.com,Sixth Sense,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
nethive.it,Nethive,devtools,Cyber Security,eu,ft1000_wayback:20220301043147,2022
latitudeim.com,Latitude Investment Management,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
qred.se,Qred,fintech_insurance,Fintech,eu,ft1000_wayback:20220301043147,2022
bomae.dk,Bomae,fintech_insurance,Financial Services,eu,ft1000_wayback:20220301043147,2022
gophr.com,Gophr,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
memorypc.eu,Memory PC,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
sollis.de,Sollis Solargroßhandel,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
centralnicregistry.com,CentralNic Group,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
bluewaterbio.com,Bluewater Bio,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
tecmasolutions.com,Tecma Solutions,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
delante.co,Delante,services_other,Sales & Marketing,eu,ft1000_wayback:20220301043147,2022
intumind.de,intumind,health,Health,eu,ft1000_wayback:20220301043147,2022
saljol.de,Saljol,health,Health,eu,ft1000_wayback:20220301043147,2022
kuori.tech,Kuori,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
valorrep.com,Valor Real Estate Partners,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
genius.com,GENIUS,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
footdistrict.com,FOOTDISTRICT,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
spiideo.com,Spiideo,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
matillion.com,Matillion,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
extramileinstitute.com,Extra Mile Live Service,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
littlebigconnection.com,LITTLEBIG CONNECTION,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
jobandtalent.com,jobandtalent,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
financialhouse.io,Financial House,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
mylead.global,MyLead,services_other,Sales & Marketing,eu,ft1000_wayback:20220301043147,2022
mia-platform.eu,Mia-Platform,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
tecnimed.it,Tecnimed,health,Health,eu,ft1000_wayback:20220301043147,2022
longevity-partners.com,Longevity Partners,ecommerce_retail,Retail,uk,ft1000_wayback:20220301043147,2022
