domain,vertical,region,company,batch,stratum,n_article_urls,best_path,qualified,error,crawls
getcasely.com,ecommerce_retail,us,Casely,inc.com_api_i5list,inc.com_api_i5list,234,blog/,True,,
daily.co,devtools,us,Daily,yc_directory,yc_directory,232,blog/,True,,
distillery.com,services_other,us,Distillery Tech,inc.com_api_i5list,inc.com_api_i5list,232,blog/,True,,
reverb.com,ecommerce_retail,us,Reverb.com,inc.com_api_i5list,inc.com_api_i5list,232,blog/,True,,
paramountbusinessjets.com,services_other,us,Paramount Business Jets,inc.com_api_i5list,inc.com_api_i5list,231,blog/,True,,
protecequip.com,services_other,us,Protec Equipment Resources,inc.com_api_i5list,inc.com_api_i5list,231,blog/,True,,
campus.ink,ecommerce_retail,us,Campus Ink,inc.com_api_i5list,inc.com_api_i5list,230,blog/,True,,
jenis.com,ecommerce_retail,us,Jeni's Splendid Ice Creams,inc.com_api_i5list,inc.com_api_i5list,229,blog/,True,,
celerity-uk.com,services_other,uk,Celerity,ft1000_wayback:20230425220624,ft1000_wayback:20230425220624,229,blog/,True,,
hypercontext.com,saas,us,Hypercontext,Summer 2021,yc,229,blog/,True,,
modernfertility.com,ecommerce,us,Modern Fertility,Summer 2017,yc,228,blog/,True,,
sellvia.com,ecommerce_retail,us,Sellvia,inc.com_api_i5list,inc.com_api_i5list,227,blog/,True,,
compassitc.com,services_other,us,Compass IT Compliance,inc.com_api_i5list,inc.com_api_i5list,226,blog/,True,,
kindful.com,software_saas,us,Kindful,inc.com_api_i5list,inc.com_api_i5list,226,blog/,True,,
trafficsafetystore.com,ecommerce_retail,us,MUVZ,inc.com_api_i5list,inc.com_api_i5list,225,blog/,True,,
hiverhq.com,software_saas,us,Hiver,g2.com_wayback,g2.com_wayback,225,blog/,True,,
marginedge.com,software_saas,us,MarginEdge,inc.com_api_i5list,inc.com_api_i5list,225,blog/,True,,
sketchdeck.com,saas,us,SketchDeck,Winter 2014,yc,224,blog/,True,,
7layers.com,services_other,eu,7Layers,ft1000_wayback:20210331132419,ft1000_wayback:20210331132419,223,blog/,True,,
rescale.com,saas,us,Rescale,Winter 2012,yc,223,blog/,True,,
livingsecurity.com,software_saas,us,Living Security,inc.com_api_i5list,inc.com_api_i5list,223,blog/,True,,
flexfits.com,ecommerce,us,The Flex Company,Summer 2016,yc,222,blog.,True,,
ketoand.co,ecommerce_retail,us,LongRun,inc.com_api_i5list,inc.com_api_i5list,221,blog/,True,,
clockshark.com,software_saas,us,ClockShark,inc.com_api_i5list,inc.com_api_i5list,221,blog/,True,,
virool.com,software_saas,us,Virool,yc_directory,yc_directory,221,blog/,True,,
supabase.com,devtools,us,Supabase,Summer 2020,yc,220,blog/,True,,
wrike.com,software_saas,,Wrike,g2.com_wayback,g2.com_wayback,220,blog/,True,,
livestorm.co,software_saas,eu,Livestorm,ft1000_wayback:20210331132419,ft1000_wayback:20210331132419,219,blog/,True,,
currencycloud.com,fintech_insurance,uk,The Currency Cloud Group,ft1000_wayback:20230425220624,ft1000_wayback:20230425220624,219,blog.,True,,
nanonets.com,devtools,us,NanoNets,Winter 2017,yc,217,blog/,True,,
bitrise.io,devtools,eu,Bitrise,Winter 2017,yc,217,blog.,True,,
